id,type,title,director,cast,country,date_added,release_year,rating,duration_type,duration_int,score
ns55,movie,inuyasha the movie: affections touching across time,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, kenichi ogata, noriko hidaka, hisako kyoda, ken narita, tomokazu seki",japan,2021-09-15,2001,tv-pg,min,100,3.539237668161435
ns56,tv show,nailed it,SinDato,"nicole byer, jacques torres",united states,2021-09-15,2021,tv-pg,season,6,3.583143507972665
ns57,movie,naruto shippuden the movie: blood prison,masahiko murata,"junko takeuchi, chie nakamura, rikiya koyama, kazuhiko inoue, masaki terasoma, mie sonozaki, yuichi nakamura, kengo kawanishi, kosei hirota, masako katsuki",japan,2021-09-15,2011,tv-14,min,102,3.5597014925373136
ns58,movie,naruto shippûden the movie: bonds,hajime kamegaki,"junko takeuchi, chie nakamura, noriaki sugiyama, unsho ishizuka, motoko kumai, kazuhiko inoue, rikiya koyama, showtaro morikubo, nana mizuki, satoshi hino, shinji kawada",japan,2021-09-15,2008,tv-pg,min,93,3.5491990846681922
ns59,movie,naruto shippûden the movie: the will of fire,masahiko murata,"junko takeuchi, chie nakamura, kazuhiko inoue, satoshi hino, showtaro morikubo, kentaro ito, ryoka yuzuki, kohsuke toriumi, nana mizuki, shinji kawada, yoichi masukawa, koichi tochika, yukari tamura",japan,2021-09-15,2009,tv-pg,min,96,3.530590717299578
ns60,movie,naruto shippuden: the movie,hajime kamegaki,"junko takeuchi, chie nakamura, yoichi masukawa, koichi tochika, ayumi fujimura, keisuke oda, daisuke kishio, fumiko orikasa, hidetoshi nakamura, tetsuya kakihara, kisho taniyama, miyuki sawashiro, katsuyuki konishi, masako katsuki, keiko nemoto, masashi ebara, kazuhiko inoue, showtaro morikubo, romi park, daisuke ono, seizo kato",japan,2021-09-15,2007,tv-pg,min,95,3.599585062240664
ns61,movie,naruto shippuden: the movie: the lost tower,masahiko murata,"junko takeuchi, chie nakamura, satoshi hino, rikiya koyama, nobuaki fukuda, kenji hamada, keiko nemoto, saori hayami, yumi toma, yuko kobayashi, fujiko takimoto, mutsumi tamura, mayuki makiguchi, toshiyuki morikawa",japan,2021-09-15,2010,tv-14,min,85,3.5555555555555554
ns62,movie,naruto the movie 2: legend of the stone of gelel,hirotsugu kawasaki,"junko takeuchi, gamon kaai, chie nakamura, showtaro morikubo, akira ishida, yasuyuki kase, urara takano, sachiko kojima, houko kuwashima, takako honda",japan,2021-09-15,2005,tv-pg,min,97,3.4782608695652173
ns63,movie,naruto the movie 3: guardians of the crescent moon kingdom,toshiyuki tsuru,"junko takeuchi, chie nakamura, yoichi masukawa, kazuhiko inoue, akio otsuka, kyousuke ikeda, marika hayashi, umeji sasaki, masashi sugawara, hisao egawa",japan,2021-09-15,2006,tv-pg,min,95,3.473856209150327
ns64,movie,naruto the movie: ninja clash in the land of snow,tensai okamura,"junko takeuchi, noriaki sugiyama, chie nakamura, kazuhiko inoue, yuhko kaida, tsutomu isobe, hirotaka suzuoki, jun karasawa, harii kaneko, ikuo nishikawa",japan,2021-09-15,2004,tv-pg,min,83,3.4719222462203025
ns65,movie,nightbooks,david yarovesky,"winslow fegley, lidya jewett, krysten ritter",SinDato,2021-09-15,2021,tv-pg,min,103,3.546242774566474
ns66,tv show,numberblocks,SinDato,"beth chalmers, david holt, marcel mccalla, teresa gallagher",united kingdom,2021-09-15,2021,tv-y,season,6,3.4414893617021276
ns67,tv show,raja rasoi aur anya kahaniyan,SinDato,SinDato,india,2021-09-15,2014,tv-g,season,1,3.5
ns68,tv show,saved by the bell,SinDato,"mark-paul gosselaar, tiffani thiessen, mario lopez, lark voorhies, elizabeth berkley, dustin diamond, dennis haskins",united states,2021-09-15,1994,tv-pg,season,9,3.491035856573705
ns69,movie,schumacher,"hanns-bruno kammertöns, vanessa nöcker, michael wech",michael schumacher,SinDato,2021-09-15,2021,tv-14,min,113,3.569744597249509
ns70,tv show,stories by rabindranath tagore,SinDato,SinDato,india,2021-09-15,2015,tv-pg,season,1,3.508
ns71,tv show,too hot to handle: latino,SinDato,itatí cantoral,SinDato,2021-09-15,2021,tv-ma,season,1,3.480769230769231
ns72,movie,a storybots space adventure,david a. vargas,"evan spiridellis, erin fitzgerald, jeff gill, fred tatasciore, evan michael lee, jared isaacman, sian proctor, chris sembroski, hayley arceneaux",SinDato,2021-09-14,2021,tv-y,min,13,3.5137420718816066
ns73,tv show,jack whitehall: travels with my father,SinDato,"jack whitehall, michael whitehall",united kingdom,2021-09-14,2021,tv-ma,season,5,3.5447154471544717
ns74,movie,king of boys,kemi adetiba,"sola sobowale, adesua etomi, remilekun ""reminisce"" safaru, tobechukwu ""illbliss"" ejiofor, toni tones, paul sambo, jide kosoko, sharon ooja",nigeria,2021-09-14,2018,tv-ma,min,182,3.539714867617108
ns75,tv show,the world's most amazing vacation rentals,SinDato,SinDato,SinDato,2021-09-14,2021,tv-pg,season,2,3.482905982905983
ns76,movie,you vs. wild: out cold,ben simms,"bear grylls, jason derek prempeh",SinDato,2021-09-14,2021,tv-g,min,106,3.640127388535032
ns77,tv show,yowamushi pedal,SinDato,"daiki yamashita, kohsuke toriumi, jun fukushima, hiroki yasumoto, showtaro morikubo, kentaro ito, daisuke kishio, yoshitsugu matsuoka, junichi suwabe, ayaka suwa, megumi han, tomoaki maeno, tsubasa yonaga, tetsuya kakihara, satoshi hino, hiroyuki yoshino, atsushi abe, koji yusa, kouki miyata, hiro shimono, wataru hatano, yuichi nakamura, kenji nojima, mamoru miyano, daisuke ono, yuma uchida, jun fukuyama",japan,2021-09-14,2013,tv-14,season,1,3.5850409836065573
ns78,movie,little singham - black shadow,prakash satam,"sumriddhi shukla, jigna bharadwaj, sonal kaushal, neshma chemburkar, ganesh divekar, annamaya verma, anamay verma, manoj pandey",SinDato,2021-09-11,2021,tv-y7,min,48,3.5165198237885464
ns79,movie,tughlaq durbar,delhiprasad deenadayalan,"vijay sethupathi, parthiban, raashi khanna",SinDato,2021-09-11,2020,tv-14,min,145,3.6099290780141846
ns80,movie,tughlaq durbar (telugu),delhiprasad deenadayalan,"vijay sethupathi, parthiban, raashi khanna",SinDato,2021-09-11,2021,tv-14,min,145,3.5218818380743984
ns81,movie,firedrake the silver dragon,tomer eshed,"thomas brodie-sangster, felicity jones, freddie highmore, patrick stewart, meera syal, sanjeev bhaskar, nonso anozie",SinDato,2021-09-10,2021,tv-y7,min,93,3.5267857142857144
ns82,movie,kate,cedric nicolas-troyan,"mary elizabeth winstead, jun kunimura, woody harrelson, tadanobu asano, miyavi, michiel huisman, miku martineau",united states,2021-09-10,2021,r,min,106,3.623873873873874
ns83,tv show,lucifer,SinDato,"tom ellis, lauren german, kevin alejandro, d.b. woodside, lesley-ann brandt, scarlett estevez, rachael harris, aimee garcia, tricia helfer, tom welling, jeremiah w. birkett, pej vahdat, michael gladis",united states,2021-09-10,2021,tv-14,season,6,3.577330508474576
ns84,tv show,metal shop masters,SinDato,jo koy,SinDato,2021-09-10,2021,tv-ma,season,1,3.485655737704918
ns85,movie,omo ghetto: the saga,"jjc skillz, funke akindele","funke akindele, ayo makun, chioma chukwuka akpotha, yemi eberechi alade, blossom chukwujekwu, deyemi okanlawon, alexx ekubo, zubby michael, tina mba, femi jacobs",nigeria,2021-09-10,2020,tv-ma,min,147,3.465783664459161
ns86,tv show,pokémon master journeys: the series,SinDato,"ikue otani, sarah natochenny, zeno robinson, cherami leigh, james carter cathcart, michele knotz, rodger parsons, ray chase, casey mongillo, tara sands",SinDato,2021-09-10,2021,tv-y7,season,1,3.528375733855186
ns87,movie,prey,thomas sieben,"david kross, hanno koffler, maria ehrich, robert finster, yung ngo, klaus steinbacher, livia matthes, nellie thalbach",SinDato,2021-09-10,2021,tv-ma,min,87,3.533333333333333
ns88,tv show,titipo titipo,SinDato,"jeon hae-ri, kim eun-ah, hong bum-ki, nam do-hyeong, um sang-hyun",SinDato,2021-09-10,2019,tv-y,season,2,3.569182389937107
ns89,movie,blood brothers: malcolm x & muhammad ali,marcus clarke,"malcolm x, muhammad ali",SinDato,2021-09-09,2021,pg-13,min,96,3.459830866807611
ns90,tv show,mighty raju,SinDato,"julie tejwani, sabina malik, jigna bhardwaj, rupa bhimani, lalit agarwal, rajesh shukla, rajesh kava",SinDato,2021-09-09,2017,tv-y7,season,4,3.5778443113772456
ns91,movie,paradise hills,alice waddington,"emma roberts, danielle macdonald, awkwafina, eiza gonzález, milla jovovich, jeremy irvine, arnaud valois, daniel horvath","spain, united states",2021-09-09,2019,tv-ma,min,95,3.4633663366336633
ns92,movie,the women and the murderer,"mona achache, patricia tourancheau",SinDato,france,2021-09-09,2021,tv-14,min,92,3.5287907869481767
ns93,tv show,into the night,SinDato,"pauline etienne, laurent capelluto, stefano cassetti, mehmet kurtuluş, babetida sadjo, jan bijvoet, ksawery szlenkier, vincent londez, regina bikkinina, alba gaïa kraghede bellugi, nabil mallat",belgium,2021-09-08,2021,tv-ma,season,2,3.556862745098039
ns94,movie,jj+e,alexis almström,"elsa öhrn, mustapha aarab, jonay pineda skallak, magnus krepper, loreen, albin grenholm, simon mezher, elsa bergström terent, josef kadim, yohannes frezgi",SinDato,2021-09-08,2021,tv-ma,min,91,3.5738522954091816
ns95,movie,show dogs,raja gosnell,"will arnett, ludacris, natasha lyonne, stanley tucci, jordin sparks, gabriel iglesias, shaquille o'neal, omar chaparro, alan cumming, andy beckwith, delia sheppard, kerry shale","united kingdom, united states",2021-09-08,2018,pg,min,90,3.5441176470588234
ns96,tv show,the circle,SinDato,michelle buteau,"united states, united kingdom",2021-09-08,2021,tv-ma,season,3,3.4980392156862745
ns97,movie,if i leave here tomorrow: a film about lynyrd skynyrd,stephen kijak,"ronnie van zandt, gary rossington, allen collins, leon wilkeson, bob burns, billy powell, ed king, artimus pyle, steve gaines, johnny van zant",united states,2021-09-07,2018,tv-ma,min,97,3.568825910931174
ns98,tv show,kid cosmic,SinDato,"jack fisher, tom kenny, amanda c. miller, kim yarbrough, keith ferguson, grey griffin, lily rose silver",united states,2021-09-07,2021,tv-y7,season,2,3.5
ns99,tv show,octonauts: above & beyond,SinDato,"antonio aakeel, chipo chung, simon foster, teresa gallagher, simon greenall, kate harbour, paul panting, rob rackstraw, william vanderpuye, helen walsh, keith wickham, andres williams, jo wyatt",united kingdom,2021-09-07,2021,tv-y,season,1,3.577731092436975
ns100,tv show,on the verge,SinDato,"julie delpy, elisabeth shue, sarah jones, alexia landeau, mathieu demy, troy garity, timm sharp, giovanni ribisi","france, united states",2021-09-07,2021,tv-ma,season,1,3.537037037037037
ns101,tv show,tobot galaxy detectives,SinDato,"austin abell, travis turner, cole howard, anna cummer, jesse inocalla, brian dobson, michael adamthwaite, joseph girgis, caitlyn bairstow",SinDato,2021-09-07,2019,tv-y7,season,2,3.5617021276595744
ns102,movie,untold: breaking point,"chapman way, maclain way",SinDato,united states,2021-09-07,2021,tv-ma,min,80,3.591295116772824
ns103,tv show,countdown: inspiration4 mission to space,jason hehir,SinDato,SinDato,2021-09-06,2021,tv-14,season,1,3.497029702970297
ns104,movie,shadow parties,yemi amodu,"jide kosoko, omotola jalade-ekeinde, yemi blaq, sola sobowale, ken erics, toyin aimakhu, segun arinze, jibola dabo, rotimi salami, pa jimi solanke, rachael okonkwo, bassey okon, lucien morgan, magdalena korpas",SinDato,2021-09-06,2020,tv-ma,min,117,3.501098901098901
ns105,tv show,tayo the little bus,SinDato,"robyn slade, kami desilets",south korea,2021-09-06,2016,tv-y,season,2,3.532454361054767
ns106,movie,angamaly diaries,lijo jose pellissery,"antony varghese, reshma rajan, binny rinky benjamin, vineeth vishwam, kichu tellus, sreekanth dasan, sarath kumar, tito wilson, anandhu, bitto davis, sinoj varghese",india,2021-09-05,2017,tv-14,min,128,3.4739583333333335
ns107,tv show,bunk'd,SinDato,"peyton list, karan brar, skai jackson, miranda may, kevin g. quinn, nathan arenas, nina lu",united states,2021-09-05,2021,tv-g,season,5,3.5287128712871287
ns108,movie,a champion heart,david de vos,"mandy grace, david de vos, donna rusch, devan key, isabella mancuso, ariana guido",united states,2021-09-04,2018,g,min,90,3.521359223300971
ns109,tv show,dive club,SinDato,"aubri ibrag, sana'a shaik, miah madden, mercy cornwall, georgia-may davis, ryan harrison, josh heuston, alexander grant",australia,2021-09-03,2021,tv-g,season,1,3.5794573643410854
ns110,tv show,la casa de papel,SinDato,"úrsula corberó, itziar ituño, álvaro morte, paco tous, enrique arce, pedro alonso, maría pedraza, alba flores, miguel herrán, jaime lorente, esther acebo, darko peric, kiti mánver",spain,2021-09-03,2021,tv-ma,season,5,3.60609243697479
ns111,tv show,money heist: from tokyo to berlin,"luis alfaro, javier gómez santander",SinDato,SinDato,2021-09-03,2021,tv-ma,season,1,3.559340659340659
ns112,tv show,sharkdog,SinDato,"liam mitchell, dee bradley baker, grey griffin, josh mcdermitt, kari wahlgren, judy alice lee, ali mawji","united states, singapore",2021-09-03,2021,tv-y,season,1,3.5551948051948052
ns113,movie,worth,sara colangelo,"michael keaton, stanley tucci, amy ryan, shunori ramanathan, ato blankson-wood, tate donovan, laura benanti, chris tardio",SinDato,2021-09-03,2021,pg-13,min,119,3.477106227106227
ns114,movie,afterlife of the party,stephen herek,"victoria justice, midori francis, robyn scott, adam garcia, timothy renouf, gloria garcia, myfanwy waring, spencer sutherland",SinDato,2021-09-02,2021,tv-pg,min,110,3.555668016194332
ns115,movie,anjaam,rahul rawail,"madhuri dixit, shah rukh khan, tinnu anand, johny lever, kalpana iyer, himani shivpuri, sudha chandran, beena, kiran kumar",india,2021-09-02,1994,tv-14,min,143,3.4497041420118344
ns116,movie,bright star,jane campion,"abbie cornish, ben whishaw, paul schneider, kerry fox, edie martin, thomas brodie-sangster, claudie blakley, gerard monaco, antonia campbell-hughes, samuel roukin","united kingdom, australia, france",2021-09-02,2009,pg,min,119,3.546382189239332
ns117,movie,dhanak,nagesh kukunoor,"krrish chhabria, hetal gada, vipin sharma, gulfam khan, suresh menon, vijay maurya, rajiv lakshman, ninad kamat",india,2021-09-02,2015,tv-pg,min,114,3.4524793388429753
ns118,movie,final account,luke holland,SinDato,"united kingdom, united states",2021-09-02,2021,pg-13,min,94,3.561659192825112
ns119,movie,gurgaon,shanker raman,"akshay oberoi, pankaj tripathi, ragini khanna, aamir bashir, shalini vatsa, ashish verma",india,2021-09-02,2017,tv-14,min,106,3.5365111561866125
ns120,movie,here and there,jp habac,"janine gutierrez, jc santos, victor anastacio, yesh burce, lotlot de leon",SinDato,2021-09-02,2020,tv-ma,min,99,3.525540275049116
ns121,tv show,heroes of goo jit zu,SinDato,"jon allen, kellen goff, joe hernandez, kaiji tang",australia,2021-09-02,2021,tv-y7,season,1,3.5384615384615383
ns122,tv show,hotel del luna,SinDato,"lee ji-eun, yeo jin-goo, shin jung-geun, seo yi-sook, bae hae-sun, pyo ji-hoon, cho hyun-chul, kang hong-suk, lee do-hyun, lee tae-seon, kang mina, park you-na, oh ji-ho",SinDato,2021-09-02,2019,tv-14,season,1,3.456740442655936
